"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","Die Datei unter dem Ordner 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' <a href='http://www.maxmind.com/app/region' title='Purchase Region database'>kaufen</a>, herunterladen und dekomprimieren, falls Sie sie nicht haben"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP ist aktiviert, aber nicht eingebunden. geoip_open-Funktion nicht gefunden"
"Country detection is enabled but %s not found","Ländererkennung ist aktiviert, aber %s wurde nicht gefunden"
"Region detection is enabled but %s not found","Regionenerkennung ist aktiviert, aber %s wurde nicht gefunden"
"City detection is enabled but %s not found","Städteerkennung ist aktiviert, aber %s wurde nicht gefunden"
"Redirect to firecheckout after adding an item to the shopping cart","Nach Hinzufügen eines Artikels in den Einkaufswagen zur Kasse weiterleiten"
"Register customer during Paypal Express checkout if prompted","Wenn verlangt, den Kunden während der Zahlung über PayPal Express registrieren"
"Ship to the same address","An dieselbe Adresse versenden"
"Validate taxvat number","UID-Nummer prüfen"
"Use online VIES validation","Online-VIES-Prüfung verwenden"
"Show Giftcard Field","Geschenkkartenfeld anzeigen"
"Works with Magento Enterprise/Pro Versions Only","Funktioniert nur mit den Magento Enterprise/Pro-Versionen"
"Address Form Fields Sort Order","Reihenfolge der Felder des Adressformulars"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Um die Felder in eine Reihe zu bringen, setzen Sie ihre Ordnungswerte in eine fortlaufende Reihe: 1,2 oder 12,13 oder 20,21</br>Um Felder in getrennte Reihen zu setzen, brechen Sie die Reihenfolge der Ordnungswerte auf: 1,3 oder 12,18 oder 20,30"
"Invalid VAT number","Ungültige UID-Nummer"
"The VAT validation service unavailable. Please re-submit your request later.","Der UID-Prüfdienst ist nicht verfügbar. Bitte stellen Sie Ihre Anfrage später erneut."
"The provided CountryCode is invalid or the VAT number is empty","Der angegebene Ländercode ist ungültig oder die UID-Nummer ist leer"
"The VAT validation service cannot process your request. Try again later.","Der UID-Prüfdienst kann Ihre Anfrage nicht bearbeiten. Versuchen Sie es später noch einmal."
"Unknown VAT validation service message. Try again later.","Unbekannte UID-Prüfmitteilung. Versuchen Sie es später noch einmal."
"The provided CountryCode is invalid for the VAT number","Der angegebene Ländercode ist für die UID-Nummer ungültig"
"Delivery Date and Time","Lieferdatum und -zeit"
"Delivery Date","Lieferdatum"
"Delivery Time","Lieferzeit"
"Display Mode","Anzeigeart"
"Use Calendar","Kalender verwenden"
"Exclude the Weekend Days","Wochenendtage ausschließen"
"Dates to Exclude","Auszuschließende Tage"
"Use Time Range","Zeitbereich verwenden"
"Time Ranges","Zeitbereiche"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Wir können die Bestellung nicht zum gewählten Datum liefern. Bitte wählen Sie ein anderes Datum für die Lieferung."
"We cannot deliver the package at the selected time. Please select another time for the delivery","Wir können die Bestellung nicht zur gewählten Zeit liefern. Bitte wählen Sie eine andere Zeit für die Lieferung."
"Show for All Shipping Methods","Für alle Versandarten anzeigen"
"Show for Specific Shipping Methods","Für bestimmte Versandarten anzeigen"
"MM/DD/YYYY","MM/TT/JJJJ"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde registriert, der diese E-Mail-Adresse verwendet. Bitte melden Sie sich mit dieser E-Mail-Adresse an oder verwenden Sie eine andere E-Mail-Adresse, um Ihr Konto zu registrieren."
"You are browsing our store as %s %s","Sie sind angemeldet als %s %s"
"Please %s or %s a new account to place order.","Bitte %s oder %s ein neues Konto um die Bestellung abzuschliessen."
"Allow to edit shopping cart contents","Erlaube den Inhalt des Warenkorbes zu bearbeiten"
"Show product image","Zeige Produktbild"
"We recommend to use 2columns layout when using this option. See the General options section.","Wir empfehlen für diese Option das 2-Spalten-Layout zu verwenden. (Siehe Bereich "Allgemein")."
"Please %slogin%s using this email address or %senter a different email address%s to register your account."," Wir haben bei Ihrer ersten Bestellung mit der Emailadresse %slogin%s ein Konto für Sie angelegt. Bitte melden Sie sich mit der Emailadresse login an (sie erhalten auf Wunsch das Passwort zugesandt) oder %serstellen Sie eine Konto mit einer anderen Emailadresse%s um die Bestellung abzuschliessen."
"This email is already in use","Es exisitiert bereits ein Kundenkonto mit dieser Emailadresse"
"3 columns","3 Spalten"
"2 columns","2 Spalten"
"Example: %s","Example: %s"
"Hide Other Shipping Methods if Free is Available"," Blende alle anderen Versandarten aus, wenn Versandfrei verfügbar ist"
"Show product name as link","Zeige den Produktnamen als link"
"Show product short description","Zeige die Kurzbeschreibung des Produktes"
"Show Address Review Block","Zeige das Adresskontrollkästchen"
"Show address review block, inside checkout review section. Useful for EU countries","Zeige das Adresskontrollkästchen innerhalb des Kontrollabschnitts an der Kasse. Geeignet für EU Länder"
"Description Excerpt Length","Länge des Auszuges aus der Beschreibung"
"Customer Comment","Kunden Kommentar"
"Move","Weiter"
"Add newline","füge eine neue Zeile ein"
"Switch to classic mode","wechsele zur Classic Einstellung"
"Switch to drag&amp;drop mode","wechsele zum drag&amp;drop Modus"
"Address verification","Adressbestätigung"
"Address could not be verified. Please double check the address before submitting the order. If the address is correct, just place the order without making any changes to it.","Die Adresse konnte nicht erkannt werden. Bitte überprüfen Sie die Adresse, bevor Sie den Auftrag erteilen. Wenn die Adresse korrekt ist, senden Sie die Bestellung ohne Änderungen ab."
"Use entered address","Benutzen Sie die eingegebene Adresse"
"Edit entered address","Editieren Sie die eingegebene Adresse"
"Use verified address","Benutzen Sie die überprüfte Adresse"
"Place order using selected option","Bestellen Sie unter Verwendung der ausgewählten Option"
"Usps Address Verification (United States addresses only)","Usps Address Verification (United States addresses only)"
"Guest checkout is allowed (registration checkbox is checked)","Bestellung ohne Registrierung wird zugelassen(Überprüfung der Registrierungen wurde durchgeführt)"
"Ship to the same address is selected by default","Versand zur gleichen Adresse wurde irrtümlich ausgewählt"
"Newsletter checkbox is checked by default","Newsletter Überprüfung wurde irrtümlich durchgeführt"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Seite bitte neu aufrufen."
"Additional content","Zusätzlicher Inhalt"
"Above form", "Oberhalb des Formulares"
"Below form","Unterhalb des Formulares"
"Below checkout review table","Unterhalb der Übersichtstabelle an der Kasse"
"See the Postal Code configuration at System > Configuration > General > Countries Options","Siehe Darstellungsart der Postleitzahl bei System > Configuration > General > Countries Options"
"See the Region configuration at System > Configuration > General > States Options","Siehe Darstellungsart der Region bei System > Configuration > General > States Options"
"USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS","USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS"
"Fields to validate","zu bewertende Felder"
"Delivery processing day ends at","Ihre Lieferung bearbeiten wir bis"
"This option is used to detect first available delivery day","Diese Option findet den frühest möglichen Liefertag"
"If you would like to use more accurate database, use the <a href='https://www.maxmind.com/en/download_files'>paid versions of the same files</a>","Falls Sie genauere Basisdaten nutzen möchten, verwenden Sie <a href='https://www.maxmind.com/en/download_files'>paid versions of the same files</a>"
"Agree text in popup window","Bestätigen Sie den Text im eingeblendeten Fenster"
"Ajax save and reload rules","Ajax save and reload rules"
"Save rules","Speichere Regeln"
"<span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling.","<span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling."
"Section dependencies","abhängige Bedingungen des Abschnitts"
"Payment methods depends on","Zahlungsarten beziehen sich auf"
"Default Values: None","Standard Werte: Keine"
"1. Add order total, if you are using min/max order total option to filter available payment methods<br/>2. Add billing address if you are using allowed countries option","1. Fügen Sie die Gesamtsumme hinzu, wenn Sie die Min./Max.Gesamtsummenoption benutzen, um verfügbare Zahlungsmethoden herauszufiltern<br/>2. Fügen Sie die Zahlungsadresse hinzu, wenn Sie die Option der zugelassenen Länder benutzen"
"Shipping methods depends on", "Versandarten setzen sich zusammen aus"
"Default Values: Cart contents, Shipping Address","Default Values: Cart contents, Shipping Address"
"1. Add order total, if you are using min/max order total option to filter available shipping methods<br/>2. Add coupon code, if you have coupons for shipping price","1. Fügen Sie die Gesamtsumme hinzu, wenn Sie die Min/Max. Gesamtsummenoption benutzen, um verfügbare Lieferarten zu erhalten<br/>2. Fügen Sie den Code des Coupons hinzu, wenn Sie einen Liefercoupon haben"
"Order total (Review) depends on","Die Gesamtsumme (Aufstellung) ist abhängig von"
"Default Values: Shipping Method","Standard Werte: Versandart"
"1. Add the shipping address if you are using tax rate or discount for some addresses<br/>2. Add payment method, if you are using discount/fee for some of the payment methods","1. Fügen Sie die Versandadresse hinzu, wenn Sie Steuern oder Vergünstigungen bei bestimmten Adressen anbieten<br/>2. Fügen Sie die Zahlungsart hinzu, wenn Sie Ermäßigungen/Gebühren für bestimmte Zahlungsarten anbieten"
"Custom fields","Benutzerdefinierte Felder"
"Cart contents (qty, weight)","Einkaufswaren Inhalt (Menge, Gewicht)"
"Use this field to enter shipping code, if you are not able to find it in previous selectbox.","Geben Sie hier den Sendungscode ein, wenn sie ihn in der vorigen Auswahlbox nicht gefunden haben."
"Layout type","Layout Art"
"Use Compact Layout","wähle kompaktes Layout"
"Set 'Yes', to use empty layout (Without Header and Footer blocks)","Set 'Yes', to use empty layout (Without Header and Footer blocks)"
"Address Detection (GeoIP)","Adressensuche (GeoIP)"
"Address Verification (USPS)","Adressenüberprüfung (USPS)"
"Tax/Vat Validation","Steuer/Mwst Bewertung"
"Delivery Date&amp;Time","Zustellungstag&amp;Zeit"
"MaxMind GeoIP","MaxMind GeoIP"
"Your Email and Name","Deine Email und Name"
"Back to Store","Zurück zum Shop"
"Edit Section","Edit Section"
"Continue Checkout","Bestellvorgang fortsetzen"
"Apply giftcard and discount coupon","Geschenkkarte oder Ermäßigungscoupon einlösen"
"Check, if you have a giftcard or discount code","Bitte überprüfen, wenn Sie eine Geschenkkarte oder Ermäßigungscoupon haben"
"Use per product delivery date offset","Use per product delivery date offset"
"When multiple products will have different date offset, maximum offset will be used","When multiple products will have different date offset, maximum offset will be used"
"Delivery date offset attribute","Delivery date offset attribute"
"Text and dropdown attribute types are shown only.<br/>Attribute should be saved with enabled 'Used in Product Listing' option.","Text and dropdown attribute types are shown only.<br/>Attribute should be saved with enabled 'Used in Product Listing' option."
"First available delivery date rules","Regeln für das frühest mögliche Lieferdatum"
"When placing order after this time, first available date will be shifted to the next day","Für Aufträge, die später eintreffen, gilt der frühest mögliche Zeitpunkt des folgenden Tages"
"Delivery will be available since first available day (order date) plus this value","Die Lieferung ist vom frühest möglichen Zeitpunkt an möglich (Bestelldatum) zuzüglich diesem Zeitraum"
"Last available delivery date rules","spätest mögliche Lieferung"
"Period in days, while delivery will be available, since first available day","Zeitraum, in dem seit dem ersten möglichen Tag geliefert werden kann"
"Excluded delivery dates rules","Tage, an denen nicht geliefert wird"
"Exclude Weekend Days","ausgeschlossene Tage an den Wochenenden"
"See `System > Configuration > General > Locale Options > Weekend Days` option","See `System > Configuration > General > Locale Options > Weekend Days` option"
"Delivery time settings","Zustellungszeiten"
"Use first available date as default value","Use first available date as default value"
"Agreements depends on","Vereinbarungen sind abhängig von"
"Existing customer? Type in your e-mail.","Bereits Kunde? Trage Deine E-Mail ein."
"This email address is associated with existing account. Fill password to proceed.","Diese email Adresse ist bereits bekannt. Paßwort einfügen um fortzufahren."
"1 column","1 Spalte"
"1 column (Expanded)","1 Spalte (erweitert)"
"2 columns","2 Spalten"
"2 columns alternative (Wide Shipping and Payment Sections)","2 Spalten zur Auswahl (breite Liefer- und Zahlungsbereiche)"
"3 columns","3 Spalten"
"Add ""filled"" class name to fully filled forms","Füge die Kategorie ""ausgefüllt"" in die fertig ausgefüllten Formulare ein"
"1 column layout is fully supported only","nur 1 spaltiges Layout wird unterstützt"
"Page Subtitle","Untertitel der Seite"
"Please fill in the fields below and click Place Order to complete purchase!","Bitte ergänzen Sie die unten stehenden Felder und klicken Sie auf Bestellen, um den Vorgang abzuschließen!"
"Not checked (Discount form is hidden)","Nicht geprüft (Rabattformular ist nicht sichtbar)"
"Checked (Discount form is visible)","Geprüft (Rabattformular ist sichtbar)"
"Hidden (Discount form is visible)","Verborgen (Rabattformular ist sichtbar)"
"Check, if you have a rewardpoints, giftcard or discount code","Bitte prüfen, wenn Sie Rabattmarken, eine Geschenkkarte oder einen Ermäßigungscoupon haben"
"Url Path","Url Pfad"
"1. Do not use Magento built-in static urls like 'checkout', 'account' etc.<br/>2. Make sure that specified path is not used by category, product or cms page.","1. Do not use Magento built-in static urls like 'checkout', 'account' etc.<br/>2. Make sure that specified path is not used by category, product or cms page."
"Allow to place order, if VIES service is busy","Bestellungen möglich, wenn VIES service eingeschaltet ist"
"Set ""Yes"", to allow to place an order without VIES validation, when VIES service is busy","Drücke auf ""Yes"", wenn Bestellungen ohne VIES validation erlaubt sind, während VIES service eingeschaltet ist"
"Use different value for Meta Title","Nutze andere Werte für Oberbegriffe"
"Register Account","Register Account"
"Address will be saved, when some of these fields are changed","Bei Änderung einzelner Felder bleibt die Adresse erhalten"
"Discount depends on","Ermäßigungen sind abhängig von"
